"" 0 "ns=1;i=292
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=292" ConveyorGo false Boolean "05/28/26 21:56:12.0850000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 1 "ns=1;i=291
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=291" TargetSlot 0 Int16 "05/28/26 21:56:12.0780000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 2 "ns=1;i=290
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=290" InverterStatus 0 Int16 "05/28/26 21:56:12.0780000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 3 "ns=1;i=289
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=289" ConveyorStatus 0 Int16 "05/28/26 21:56:12.0770000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 4 "ns=1;i=288
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=288" CSOFFSETINCHES 0 Int16 "05/28/26 21:56:12.1070000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 5 "ns=1;i=287
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=287" MyAIAAcc 0 Int16 "05/28/26 21:56:12.1070000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 6 "ns=1;i=286
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=286" MyIAISpeed 0 Int32 "05/28/26 21:56:12.1070000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 7 "ns=1;i=285
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=285" MyIAIPosBand 0 Int32 "05/28/26 21:56:12.1070000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 8 "ns=1;i=284
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=284" MyAIASlotPosition "ExtensionObject [typeId=nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=10007, encodeType=Binary, object=[44] 0x0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000]" DWORD "05/28/26 21:56:12.1070000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 9 "ns=1;i=283
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=283" Slot0PulseAdder -1.25 Float "05/28/26 21:56:12.1070000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 10 "ns=1;i=282
