Number,NodeID,Name,Value,ValueType
0,ns=1;i=292,ConveyorGo,FALSE,Boolean
1,ns=1;i=291,TargetSlot,0,Int16
2,ns=1;i=290,InverterStatus,0,Int16
3,ns=1;i=289,ConveyorStatus,0,Int16
4,ns=1;i=288,CSOFFSETINCHES,0,Int16
5,ns=1;i=287,MyAIAAcc,0,Int16
6,ns=1;i=286,MyIAISpeed,0,Int32
7,ns=1;i=285,MyIAIPosBand,0,Int32
8,ns=1;i=284,MyAIASlotPosition,"ExtensionObject [typeId=nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=10007, encodeType=Binary, object=[44] 0x0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000]",DWORD
9,ns=1;i=283,Slot0PulseAdder,-1.25,Float
10,ns=1;i=282,Slot9PulseAdder,0,Float
11,ns=1;i=281,Slot8PulseAdder,0,Float
12,ns=1;i=280,Slot7PulseAdder,0,Float
13,ns=1;i=279,Slot6PulseAdder,0,Float
14,ns=1;i=278,Slot5PulseAdder,8.5,Float
15,ns=1;i=277,Slot4PulseAdder,8,Float
16,ns=1;i=276,Slot3PulseAdder,6,Float
17,ns=1;i=275,Slot2PulseAdder,4,Float
18,ns=1;i=274,Slot1PulseAdder,1.75,Float
19,ns=1;i=273,NumberOfStations,1,Int16
20,ns=1;i=272,ConveyorHomingTimeout,0,Int16
21,ns=1;i=271,HorizontalActuatorCycleTimeout,0,Int16
22,ns=1;i=270,ConveyorLastHomeCycle,0,Int16
23,ns=1;i=269,EncoderFailureTime,30,Int16
24,ns=1;i=268,SlotID2,0,Int16
25,ns=1;i=267,SlotID1,56,Int16
26,ns=1;i=266,ConveyorID,0,Int16
27,ns=1;i=265,NextMaintananceAt,0,Int16
28,ns=1;i=264,TargetNum,0,Float
29,ns=1;i=263,EncoderPulsesPerRev,2520,Float
30,ns=1;i=262,FrameLength,12,Float
31,ns=1;i=261,SlotsPerFrame,5,Int16
32,ns=1;i=260,NumberToothSprocket,7,Int16
